timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732083353209,99,HTTP Request,200,OK,students 1-1,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,99,0,37
1732083353311,117,HTTP Request,200,OK,students 1-2,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,117,0,35
1732083353409,86,HTTP Request,200,OK,students 1-3,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,86,0,35
1732083353509,85,HTTP Request,200,OK,students 1-4,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,85,0,35
1732083353607,82,HTTP Request,200,OK,students 1-5,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,82,0,35
1732083353707,90,HTTP Request,200,OK,students 1-6,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,90,0,36
1732083353807,87,HTTP Request,200,OK,students 1-7,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,87,0,37
1732083353904,88,HTTP Request,200,OK,students 1-8,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,88,0,37
1732083354015,86,HTTP Request,200,OK,students 1-9,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,86,0,37
1732083354109,95,HTTP Request,200,OK,students 1-10,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,95,0,35
